Date,Month,Day,Predicted_Receipt_Count
2022-01-01,1,1,9132573.0
2022-01-02,1,2,8714794.0
2022-01-03,1,3,8555933.0
2022-01-04,1,4,8498517.0
2022-01-05,1,5,8480848.0
2022-01-06,1,6,8478751.0
2022-01-07,1,7,8482756.0
2022-01-08,1,8,8829173.0
2022-01-09,1,9,8978436.0
2022-01-10,1,10,9034176.0
2022-01-11,1,11,9047114.0
2022-01-12,1,12,9041262.0
2022-01-13,1,13,9027710.0
2022-01-14,1,14,9011469.0
2022-01-15,1,15,8994755.0
2022-01-16,1,16,8988280.0
2022-01-17,1,17,8990287.0
2022-01-18,1,18,8997159.0
2022-01-19,1,19,9006112.0
2022-01-20,1,20,9015455.0
2022-01-21,1,21,9024294.0
2022-01-22,1,22,9032215.0
2022-01-23,1,23,9039070.0
2022-01-24,1,24,9045124.0
2022-01-25,1,25,9050748.0
2022-01-26,1,26,9056240.0
2022-01-27,1,27,9061779.0
2022-01-28,1,28,9067446.0
2022-01-29,1,29,9073254.0
2022-01-30,1,30,9079178.0
2022-01-31,1,31,9085174.0
2022-02-01,2,1,8923032.0
2022-02-02,2,2,8867997.0
2022-02-03,2,3,8856664.0
2022-02-04,2,4,8862937.0
2022-02-05,2,5,8876092.0
2022-02-06,2,6,8891732.0
2022-02-07,2,7,8908066.0
2022-02-08,2,8,8924376.0
2022-02-09,2,9,8935554.0
2022-02-10,2,10,8942821.0
2022-02-11,2,11,8948021.0
2022-02-12,2,12,8952443.0
2022-02-13,2,13,8956810.0
2022-02-14,2,14,8961479.0
2022-02-15,2,15,8966602.0
2022-02-16,2,16,8972223.0
2022-02-17,2,17,8978199.0
2022-02-18,2,18,8984352.0
2022-02-19,2,19,8990546.0
2022-02-20,2,20,8996705.0
2022-02-21,2,21,9002800.0
2022-02-22,2,22,9008828.0
2022-02-23,2,23,9014804.0
2022-02-24,2,24,9020749.0
2022-02-25,2,25,9026684.0
2022-02-26,2,26,9032620.0
2022-02-27,2,27,9038565.0
2022-02-28,2,28,9044519.0
2022-03-01,3,1,8896792.0
2022-03-02,3,2,8846954.0
2022-03-03,3,3,8837071.0
2022-03-04,3,4,8843298.0
2022-03-05,3,5,8855828.0
2022-03-06,3,6,8870638.0
2022-03-07,3,7,8886088.0
2022-03-08,3,8,8901515.0
2022-03-09,3,9,8912250.0
2022-03-10,3,10,8919408.0
2022-03-11,3,11,8924676.0
2022-03-12,3,12,8929230.0
2022-03-13,3,13,8933734.0
2022-03-14,3,14,8938514.0
2022-03-15,3,15,8943708.0
2022-03-16,3,16,8949358.0
2022-03-17,3,17,8955333.0
2022-03-18,3,18,8961469.0
2022-03-19,3,19,8967643.0
2022-03-20,3,20,8973786.0
2022-03-21,3,21,8979870.0
2022-03-22,3,22,8985893.0
2022-03-23,3,23,8991868.0
2022-03-24,3,24,8997815.0
2022-03-25,3,25,9003752.0
2022-03-26,3,26,9009691.0
2022-03-27,3,27,9015637.0
2022-03-28,3,28,9021592.0
2022-03-29,3,29,9027554.0
2022-03-30,3,30,9033520.0
2022-03-31,3,31,9039488.0
2022-04-01,4,1,8877289.0
2022-04-02,4,2,8822195.0
2022-04-03,4,3,8810817.0
2022-04-04,4,4,8817065.0
2022-04-05,4,5,8830210.0
2022-04-06,4,6,8845851.0
2022-04-07,4,7,8862193.0
2022-04-08,4,8,8878511.0
2022-04-09,4,9,8889696.0
2022-04-10,4,10,8896967.0
2022-04-11,4,11,8902169.0
2022-04-12,4,12,8906591.0
2022-04-13,4,13,8910957.0
2022-04-14,4,14,8915625.0
2022-04-15,4,15,8920747.0
2022-04-16,4,16,8926368.0
2022-04-17,4,17,8932344.0
2022-04-18,4,18,8938496.0
2022-04-19,4,19,8944690.0
2022-04-20,4,20,8950850.0
2022-04-21,4,21,8956944.0
2022-04-22,4,22,8962972.0
2022-04-23,4,23,8968948.0
2022-04-24,4,24,8974894.0
2022-04-25,4,25,8980828.0
2022-04-26,4,26,8986765.0
2022-04-27,4,27,8992709.0
2022-04-28,4,28,8998663.0
2022-04-29,4,29,9004625.0
2022-04-30,4,30,9010591.0
2022-05-01,5,1,8853218.0
2022-05-02,5,2,8799878.0
2022-05-03,5,3,8789000.0
2022-05-04,5,4,8795241.0
2022-05-05,5,5,8808180.0
2022-05-06,5,6,8823544.0
2022-05-07,5,7,8839588.0
2022-05-08,5,8,8855609.0
2022-05-09,5,9,8866644.0
2022-05-10,5,10,8873877.0
2022-05-11,5,11,8879101.0
2022-05-12,5,12,8883567.0
2022-05-13,5,13,8887979.0
2022-05-14,5,14,8892684.0
2022-05-15,5,15,8897830.0
2022-05-16,5,16,8903461.0
2022-05-17,5,17,8909436.0
2022-05-18,5,18,8915583.0
2022-05-19,5,19,8921771.0
2022-05-20,5,20,8927925.0
2022-05-21,5,21,8934016.0
2022-05-22,5,22,8940042.0
2022-05-23,5,23,8946018.0
2022-05-24,5,24,8951964.0
2022-05-25,5,25,8957899.0
2022-05-26,5,26,8963836.0
2022-05-27,5,27,8969781.0
2022-05-28,5,28,8975735.0
2022-05-29,5,29,8981697.0
2022-05-30,5,30,8987664.0
2022-05-31,5,31,8993632.0
2022-06-01,6,1,8831433.0
2022-06-02,6,2,8776339.0
2022-06-03,6,3,8764962.0
2022-06-04,6,4,8771210.0
2022-06-05,6,5,8784355.0
2022-06-06,6,6,8799996.0
2022-06-07,6,7,8816338.0
2022-06-08,6,8,8832656.0
2022-06-09,6,9,8843840.0
2022-06-10,6,10,8851111.0
2022-06-11,6,11,8856313.0
2022-06-12,6,12,8860735.0
2022-06-13,6,13,8865102.0
2022-06-14,6,14,8869770.0
2022-06-15,6,15,8874892.0
2022-06-16,6,16,8880512.0
2022-06-17,6,17,8886488.0
2022-06-18,6,18,8892640.0
2022-06-19,6,19,8898834.0
2022-06-20,6,20,8904994.0
2022-06-21,6,21,8911089.0
2022-06-22,6,22,8917117.0
2022-06-23,6,23,8923093.0
2022-06-24,6,24,8929038.0
2022-06-25,6,25,8934973.0
2022-06-26,6,26,8940909.0
2022-06-27,6,27,8946854.0
2022-06-28,6,28,8952808.0
2022-06-29,6,29,8958769.0
2022-06-30,6,30,8964735.0
2022-07-01,7,1,8807363.0
2022-07-02,7,2,8754023.0
2022-07-03,7,3,8743144.0
2022-07-04,7,4,8749385.0
2022-07-05,7,5,8762325.0
2022-07-06,7,6,8777689.0
2022-07-07,7,7,8793732.0
2022-07-08,7,8,8809753.0
2022-07-09,7,9,8820788.0
2022-07-10,7,10,8828021.0
2022-07-11,7,11,8833245.0
2022-07-12,7,12,8837711.0
2022-07-13,7,13,8842123.0
2022-07-14,7,14,8846829.0
2022-07-15,7,15,8851975.0
2022-07-16,7,16,8857605.0
2022-07-17,7,17,8863581.0
2022-07-18,7,18,8869728.0
2022-07-19,7,19,8875915.0
2022-07-20,7,20,8882069.0
2022-07-21,7,21,8888160.0
2022-07-22,7,22,8894186.0
2022-07-23,7,23,8900162.0
2022-07-24,7,24,8906108.0
2022-07-25,7,25,8912044.0
2022-07-26,7,26,8917981.0
2022-07-27,7,27,8923926.0
2022-07-28,7,28,8929880.0
2022-07-29,7,29,8935842.0
2022-07-30,7,30,8941808.0
2022-07-31,7,31,8947777.0
2022-08-01,8,1,8785578.0
2022-08-02,8,2,8730484.0
2022-08-03,8,3,8719106.0
2022-08-04,8,4,8725354.0
2022-08-05,8,5,8738499.0
2022-08-06,8,6,8754140.0
2022-08-07,8,7,8770482.0
2022-08-08,8,8,8786800.0
2022-08-09,8,9,8797985.0
2022-08-10,8,10,8805256.0
2022-08-11,8,11,8810458.0
2022-08-12,8,12,8814880.0
2022-08-13,8,13,8819246.0
2022-08-14,8,14,8823914.0
2022-08-15,8,15,8829036.0
2022-08-16,8,16,8834657.0
2022-08-17,8,17,8840633.0
2022-08-18,8,18,8846785.0
2022-08-19,8,19,8852979.0
2022-08-20,8,20,8859138.0
2022-08-21,8,21,8865233.0
2022-08-22,8,22,8871261.0
2022-08-23,8,23,8877237.0
2022-08-24,8,24,8883183.0
2022-08-25,8,25,8889117.0
2022-08-26,8,26,8895053.0
2022-08-27,8,27,8900998.0
2022-08-28,8,28,8906952.0
2022-08-29,8,29,8912913.0
2022-08-30,8,30,8918880.0
2022-08-31,8,31,8924849.0
2022-09-01,9,1,8762650.0
2022-09-02,9,2,8707556.0
2022-09-03,9,3,8696179.0
2022-09-04,9,4,8702427.0
2022-09-05,9,5,8715572.0
2022-09-06,9,6,8731213.0
2022-09-07,9,7,8747554.0
2022-09-08,9,8,8763872.0
2022-09-09,9,9,8775057.0
2022-09-10,9,10,8782328.0
2022-09-11,9,11,8787530.0
2022-09-12,9,12,8791952.0
2022-09-13,9,13,8796318.0
2022-09-14,9,14,8800986.0
2022-09-15,9,15,8806108.0
2022-09-16,9,16,8811729.0
2022-09-17,9,17,8817705.0
2022-09-18,9,18,8823857.0
2022-09-19,9,19,8830051.0
2022-09-20,9,20,8836211.0
2022-09-21,9,21,8842305.0
2022-09-22,9,22,8848333.0
2022-09-23,9,23,8854309.0
2022-09-24,9,24,8860255.0
2022-09-25,9,25,8866189.0
2022-09-26,9,26,8872126.0
2022-09-27,9,27,8878070.0
2022-09-28,9,28,8884024.0
2022-09-29,9,29,8889986.0
2022-09-30,9,30,8895952.0
2022-10-01,10,1,8738579.0
2022-10-02,10,2,8685239.0
2022-10-03,10,3,8674361.0
2022-10-04,10,4,8680602.0
2022-10-05,10,5,8693541.0
2022-10-06,10,6,8708905.0
2022-10-07,10,7,8724949.0
2022-10-08,10,8,8740970.0
2022-10-09,10,9,8752005.0
2022-10-10,10,10,8759238.0
2022-10-11,10,11,8764462.0
2022-10-12,10,12,8768928.0
2022-10-13,10,13,8773340.0
2022-10-14,10,14,8778045.0
2022-10-15,10,15,8783191.0
2022-10-16,10,16,8788822.0
2022-10-17,10,17,8794798.0
2022-10-18,10,18,8800945.0
2022-10-19,10,19,8807132.0
2022-10-20,10,20,8813286.0
2022-10-21,10,21,8819377.0
2022-10-22,10,22,8825403.0
2022-10-23,10,23,8831379.0
2022-10-24,10,24,8837325.0
2022-10-25,10,25,8843260.0
2022-10-26,10,26,8849197.0
2022-10-27,10,27,8855142.0
2022-10-28,10,28,8861096.0
2022-10-29,10,29,8867058.0
2022-10-30,10,30,8873025.0
2022-10-31,10,31,8878993.0
2022-11-01,11,1,8716794.0
2022-11-02,11,2,8661701.0
2022-11-03,11,3,8650323.0
2022-11-04,11,4,8656571.0
2022-11-05,11,5,8669716.0
2022-11-06,11,6,8685357.0
2022-11-07,11,7,8701699.0
2022-11-08,11,8,8718017.0
2022-11-09,11,9,8729202.0
2022-11-10,11,10,8736473.0
2022-11-11,11,11,8741675.0
2022-11-12,11,12,8746096.0
2022-11-13,11,13,8750463.0
2022-11-14,11,14,8755131.0
2022-11-15,11,15,8760253.0
2022-11-16,11,16,8765873.0
2022-11-17,11,17,8771849.0
2022-11-18,11,18,8778001.0
2022-11-19,11,19,8784195.0
2022-11-20,11,20,8790355.0
2022-11-21,11,21,8796450.0
2022-11-22,11,22,8802478.0
2022-11-23,11,23,8808454.0
2022-11-24,11,24,8814400.0
2022-11-25,11,25,8820334.0
2022-11-26,11,26,8826270.0
2022-11-27,11,27,8832215.0
2022-11-28,11,28,8838169.0
2022-11-29,11,29,8844130.0
2022-11-30,11,30,8850096.0
2022-12-01,12,1,8692724.0
2022-12-02,12,2,8639384.0
2022-12-03,12,3,8628505.0
2022-12-04,12,4,8634746.0
2022-12-05,12,5,8647686.0
2022-12-06,12,6,8663050.0
2022-12-07,12,7,8679093.0
2022-12-08,12,8,8695114.0
2022-12-09,12,9,8706149.0
2022-12-10,12,10,8713382.0
2022-12-11,12,11,8718606.0
2022-12-12,12,12,8723072.0
2022-12-13,12,13,8727484.0
2022-12-14,12,14,8732190.0
2022-12-15,12,15,8737336.0
2022-12-16,12,16,8742966.0
2022-12-17,12,17,8748942.0
2022-12-18,12,18,8755089.0
2022-12-19,12,19,8761276.0
2022-12-20,12,20,8767430.0
2022-12-21,12,21,8773521.0
2022-12-22,12,22,8779547.0
2022-12-23,12,23,8785523.0
2022-12-24,12,24,8791469.0
2022-12-25,12,25,8797405.0
2022-12-26,12,26,8803342.0
2022-12-27,12,27,8809287.0
2022-12-28,12,28,8815241.0
2022-12-29,12,29,8821203.0
2022-12-30,12,30,8827169.0
2022-12-31,12,31,8833138.0
