Date,Month,Day,Predicted_Receipt_Count
2022-01-01,1,1,7864601.5
2022-01-02,1,2,8294185.0
2022-01-03,1,3,8193242.5
2022-01-04,1,4,8193683.5
2022-01-05,1,5,8174750.5
2022-01-06,1,6,8159519.5
2022-01-07,1,7,8143581.0
2022-01-08,1,8,8602267.0
2022-01-09,1,9,8472685.0
2022-01-10,1,10,8473014.0
2022-01-11,1,11,8445350.0
2022-01-12,1,12,8423914.0
2022-01-13,1,13,8401366.0
2022-01-14,1,14,8379259.5
2022-01-15,1,15,8357261.5
2022-01-16,1,16,8350281.5
2022-01-17,1,17,8336596.0
2022-01-18,1,18,8324630.0
2022-01-19,1,19,8311844.5
2022-01-20,1,20,8298945.0
2022-01-21,1,21,8285765.5
2022-01-22,1,22,8272360.5
2022-01-23,1,23,8258729.0
2022-01-24,1,24,8245349.5
2022-01-25,1,25,8231912.0
2022-01-26,1,26,8218531.5
2022-01-27,1,27,8205159.0
2022-01-28,1,28,8191800.0
2022-01-29,1,29,8178443.5
2022-01-30,1,30,8165085.5
2022-01-31,1,31,8151718.5
2022-02-01,2,1,8826780.0
2022-02-02,2,2,8660315.0
2022-02-03,2,3,8659456.0
2022-02-04,2,4,8626558.0
2022-02-05,2,5,8600394.0
2022-02-06,2,6,8573344.0
2022-02-07,2,7,8546892.0
2022-02-08,2,8,8520734.0
2022-02-09,2,9,8516459.0
2022-02-10,2,10,8502928.0
2022-02-11,2,11,8491561.0
2022-02-12,2,12,8479108.0
2022-02-13,2,13,8466433.0
2022-02-14,2,14,8453352.0
2022-02-15,2,15,8439929.0
2022-02-16,2,16,8426173.0
2022-02-17,2,17,8412777.0
2022-02-18,2,18,8399309.0
2022-02-19,2,19,8385920.0
2022-02-20,2,20,8372545.0
2022-02-21,2,21,8359189.5
2022-02-22,2,22,8345838.5
2022-02-23,2,23,8332484.5
2022-02-24,2,24,8319118.5
2022-02-25,2,25,8305754.0
2022-02-26,2,26,8292386.0
2022-02-27,2,27,8279018.0
2022-02-28,2,28,8265649.5
2022-03-01,3,1,8884161.0
2022-03-02,3,2,8730273.0
2022-03-03,3,3,8728386.0
2022-03-04,3,4,8697094.0
2022-03-05,3,5,8671981.0
2022-03-06,3,6,8646055.0
2022-03-07,3,7,8620678.0
2022-03-08,3,8,8595571.0
2022-03-09,3,9,8590549.0
2022-03-10,3,10,8577031.0
2022-03-11,3,11,8565500.0
2022-03-12,3,12,8552972.0
2022-03-13,3,13,8540240.0
2022-03-14,3,14,8527135.0
2022-03-15,3,15,8513717.0
2022-03-16,3,16,8499993.0
